item_type,date_uploaded,source_file,item_id,phys_format,dig_format,rights,image_url,title,date_created
Item,2023-12-10,data/ftu_libs_metadata/item_metadata-cph.3b41963.json,91787443,"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",Image,No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/cph/3b40000/3b41000/3b41900/3b41963v.jpg#h=823&w=1024,Not found,1916-01-01
Item,2023-12-10,data/ftu_libs_metadata/item_metadata-cph.3b43255.json,89710983,"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",Image,"No known restrictions on publication. For more information, see Federal Art Project (FAP) Prints  - Rights and Restrictions Information http://hdl.loc.gov/loc.pnp/res.750.fap",https://tile.loc.gov/storage-services/service/pnp/cph/3b40000/3b43000/3b43200/3b43255r.jpg#h=422&w=640,Not found,1939-01-01
Item,2023-12-10,data/ftu_libs_metadata/item_metadata-cph.3c18157.json,97511671,"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",Image,Undetermined,https://tile.loc.gov/storage-services/service/pnp/cph/3c10000/3c18000/3c18100/3c18157v.jpg#h=824&w=1024,Not found,1909-01-01
Item,2023-12-10,data/ftu_libs_metadata/item_metadata-cph.3f05168.json,98508385,"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",Image,No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/cph/3f00000/3f05000/3f05100/3f05168v.jpg#h=1024&w=708,Not found,1936-01-01
Item,2023-12-10,data/ftu_libs_metadata/item_metadata-cph.3f05183.json,98508155,"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",Image,No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/cph/3f00000/3f05000/3f05100/3f05183v.jpg#h=1024&w=705,Not found,1936-01-01
Item,2023-12-10,data/ftu_libs_metadata/item_metadata-det.4a17925.json,2016809661,"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",Image,No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/det/4a10000/4a17000/4a17900/4a17925v.jpg#h=814&w=1024,Not found,1906-01-01
Item,2023-12-10,data/ftu_libs_metadata/item_metadata-det.4a23603.json,2016815290,"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",Image,No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/det/4a20000/4a23000/4a23600/4a23603v.jpg#h=820&w=1024,Not found,1905-01-01
Item,2023-12-10,data/ftu_libs_metadata/item_metadata-ds.06507.json,2014650180,"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",Image,No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/ds/06500/06507v.jpg#h=826&w=1024,Not found,1900-01-01
Item,2023-12-10,data/ftu_libs_metadata/item_metadata-ds.06560.json,2014647618,"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",Image,No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/ds/06500/06560v.jpg#h=727&w=1024,Not found,1921
Item,2023-12-10,data/ftu_libs_metadata/item_metadata-fsa.8b14169.json,2017762724,"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",Image,"No known restrictions. For information, see U.S. Farm Security Administration/Office of War Information Black & White Photographs https://www.loc.gov/rr/print/res/071_fsab.html",https://tile.loc.gov/storage-services/service/pnp/fsa/8b14000/8b14100/8b14169v.jpg#h=783&w=1024,Not found,1938-01-01
